activity_date,open,close,volume,high,low,MACD,Signal,MSDiff,rsi,market_updown,market_rsi
2013-06-26,36.5967,36.8108,1208000,37.0250,36.1272,-0.74,-0.34,-0.40,37.00,1,42.00
2013-06-27,37.0662,37.4698,830400,37.8240,36.7697,-0.73,-0.42,-0.31,42.00,1,45.00
2013-06-28,37.3462,36.9014,1427600,37.3874,36.5637,-0.76,-0.49,-0.27,38.00,0,44.00
2013-07-01,37.2886,37.4039,821000,37.9475,37.1321,-0.74,-0.54,-0.20,42.00,1,46.00
2013-07-02,37.4121,37.0826,604800,37.5357,36.6461,-0.74,-0.58,-0.16,40.00,0,46.00
2013-07-03,36.9426,37.3709,376700,37.5192,36.7943,-0.71,-0.60,-0.11,42.00,1,46.00
2013-07-05,37.6428,37.5933,506000,38.0134,37.2145,-0.65,-0.61,-0.04,44.00,1,52.00
2013-07-08,37.7498,37.6263,793700,37.9640,37.4615,-0.61,-0.61,0.00,45.00,1,54.00
2013-07-09,38.0217,38.3758,897400,38.5488,37.8899,-0.50,-0.59,0.09,51.00,1,58.00
2013-07-10,38.3429,38.5735,811800,39.0019,37.9640,-0.39,-0.55,0.16,53.00,1,58.00
2013-07-11,39.0430,39.1336,1004700,39.4549,39.0348,-0.27,-0.49,0.22,57.00,1,63.00
2013-07-12,39.1501,39.2737,710000,39.3478,38.7383,-0.15,-0.43,0.28,58.00,1,65.00
2013-07-15,39.2737,39.1501,1028100,39.4137,38.6806,-0.07,-0.35,0.28,57.00,1,65.00
2013-07-16,39.3560,38.9360,821500,39.3560,38.5488,-0.01,-0.29,0.28,55.00,0,62.00
2013-07-17,38.9771,38.9936,858300,39.2737,38.8042,0.03,-0.22,0.25,55.00,1,64.00
2013-07-18,39.3643,39.5455,1389300,39.7844,39.0348,0.10,-0.16,0.26,59.00,1,66.00
2013-07-19,38.1040,39.3149,3578900,39.7349,37.7828,0.15,-0.10,0.25,57.00,1,67.00
2013-07-22,39.1089,39.3478,1432300,39.3725,38.9360,0.18,-0.04,0.22,57.00,1,67.00
2013-07-23,39.6279,39.9820,1065800,40.1962,39.4714,0.25,0.02,0.23,62.00,0,66.00
2013-07-24,40.1138,39.8173,987900,40.2127,39.6855,0.30,0.07,0.23,60.00,0,62.00
2013-07-25,39.6938,39.4714,637600,39.8255,39.3560,0.29,0.12,0.17,56.00,1,64.00
2013-07-26,39.2819,38.6971,1335600,39.2984,38.5570,0.24,0.14,0.10,49.00,1,64.00
2013-07-29,38.5982,38.7877,1015300,38.9195,38.4253,0.19,0.15,0.04,49.00,0,60.00
2013-07-30,39.1666,39.6114,1337000,39.8750,38.8206,0.22,0.17,0.05,56.00,0,60.00
2013-07-31,39.7679,39.5867,880800,39.9656,39.4631,0.24,0.18,0.06,55.00,0,60.00
2013-08-01,40.0993,40.3391,828100,40.6946,39.9835,0.31,0.21,0.10,61.00,1,68.00
2013-08-02,40.3060,40.5457,929900,40.5623,39.9339,0.38,0.24,0.14,62.00,1,69.00
