
CONFIGURATION_BEGIN
ProcessingMode,PORTFOLIO_REFRESH
CONFIGURATION_END

TYPE,SWAP
VERSION,5
ACTION,ADD
MODE,TABULAR
FIELDS
PORTFOLIO_NAME,PORTFOLIO_CUSTOM_ID,SWAP TYPE,ONE LEG DEALS PAY RECEIVE,SWAP COUNTERPARTY,PRIVILEGE,DEAL NOTIONAL,DEAL EFFECTIVE DATE,DEAL MATURITY DATE,CURRENCY,DAYS BEFORE ACCRUAL TYPE,DAYS BEFORE ACCRUAL,INDEX NAME,STRIKE,PAY FREQUENCY,DISTRIBUTION TYPE
LoanBoss Cap Volatility Update,LBCP5.000_05,CAP,RECEIVE,Max Power,FIRM,10000000,05/20/2025,06/20/2025,USD,Lookback,0,TSFR1M,5.0,M,Normal
LoanBoss Cap Volatility Update,LBCP5.001_06,CAP,RECEIVE,Max Power,FIRM,10000000,06/20/2025,07/20/2025,USD,Lookback,0,TSFR1M,5.0,M,Normal
LoanBoss Cap Volatility Update,LBCP5.002_07,CAP,RECEIVE,Max Power,FIRM,10000000,07/20/2025,08/20/2025,USD,Lookback,0,TSFR1M,5.0,M,Normal
LoanBoss Cap Volatility Update,LBCP5.003_08,CAP,RECEIVE,Max Power,FIRM,10000000,08/20/2025,09/20/2025,USD,Lookback,0,TSFR1M,5.0,M,Normal
LoanBoss Cap Volatility Update,LBCP5.004_09,CAP,RECEIVE,Max Power,FIRM,10000000,09/20/2025,10/20/2025,USD,Lookback,0,TSFR1M,5.0,M,Normal
LoanBoss Cap Volatility Update,LBCP5.005_10,CAP,RECEIVE,Max Power,FIRM,10000000,10/20/2025,11/20/2025,USD,Lookback,0,TSFR1M,5.0,M,Normal
LoanBoss Cap Volatility Update,LBCP5.006_11,CAP,RECEIVE,Max Power,FIRM,10000000,11/20/2025,12/20/2025,USD,Lookback,0,TSFR1M,5.0,M,Normal
LoanBoss Cap Volatility Update,LBCP5.007_12,CAP,RECEIVE,Max Power,FIRM,10000000,12/20/2025,01/20/2026,USD,Lookback,0,TSFR1M,5.0,M,Normal
LoanBoss Cap Volatility Update,LBCP5.008_01,CAP,RECEIVE,Max Power,FIRM,10000000,01/20/2026,02/20/2026,USD,Lookback,0,TSFR1M,5.0,M,Normal
LoanBoss Cap Volatility Update,LBCP5.009_02,CAP,RECEIVE,Max Power,FIRM,10000000,02/20/2026,03/20/2026,USD,Lookback,0,TSFR1M,5.0,M,Normal
LoanBoss Cap Volatility Update,LBCP5.010_03,CAP,RECEIVE,Max Power,FIRM,10000000,03/20/2026,04/20/2026,USD,Lookback,0,TSFR1M,5.0,M,Normal
LoanBoss Cap Volatility Update,LBCP5.011_04,CAP,RECEIVE,Max Power,FIRM,10000000,04/20/2026,05/20/2026,USD,Lookback,0,TSFR1M,5.0,M,Normal
LoanBoss Cap Volatility Update,LBCP5.012_05,CAP,RECEIVE,Max Power,FIRM,10000000,05/20/2026,06/20/2026,USD,Lookback,0,TSFR1M,5.0,M,Normal
LoanBoss Cap Volatility Update,LBCP5.013_06,CAP,RECEIVE,Max Power,FIRM,10000000,06/20/2026,07/20/2026,USD,Lookback,0,TSFR1M,5.0,M,Normal
LoanBoss Cap Volatility Update,LBCP5.014_07,CAP,RECEIVE,Max Power,FIRM,10000000,07/20/2026,08/20/2026,USD,Lookback,0,TSFR1M,5.0,M,Normal
LoanBoss Cap Volatility Update,LBCP5.015_08,CAP,RECEIVE,Max Power,FIRM,10000000,08/20/2026,09/20/2026,USD,Lookback,0,TSFR1M,5.0,M,Normal
LoanBoss Cap Volatility Update,LBCP5.016_09,CAP,RECEIVE,Max Power,FIRM,10000000,09/20/2026,10/20/2026,USD,Lookback,0,TSFR1M,5.0,M,Normal
LoanBoss Cap Volatility Update,LBCP5.017_10,CAP,RECEIVE,Max Power,FIRM,10000000,10/20/2026,11/20/2026,USD,Lookback,0,TSFR1M,5.0,M,Normal
LoanBoss Cap Volatility Update,LBCP5.018_11,CAP,RECEIVE,Max Power,FIRM,10000000,11/20/2026,12/20/2026,USD,Lookback,0,TSFR1M,5.0,M,Normal
LoanBoss Cap Volatility Update,LBCP5.019_12,CAP,RECEIVE,Max Power,FIRM,10000000,12/20/2026,01/20/2027,USD,Lookback,0,TSFR1M,5.0,M,Normal
LoanBoss Cap Volatility Update,LBCP5.020_01,CAP,RECEIVE,Max Power,FIRM,10000000,01/20/2027,02/20/2027,USD,Lookback,0,TSFR1M,5.0,M,Normal
LoanBoss Cap Volatility Update,LBCP5.021_02,CAP,RECEIVE,Max Power,FIRM,10000000,02/20/2027,03/20/2027,USD,Lookback,0,TSFR1M,5.0,M,Normal
LoanBoss Cap Volatility Update,LBCP5.022_03,CAP,RECEIVE,Max Power,FIRM,10000000,03/20/2027,04/20/2027,USD,Lookback,0,TSFR1M,5.0,M,Normal
LoanBoss Cap Volatility Update,LBCP5.023_04,CAP,RECEIVE,Max Power,FIRM,10000000,04/20/2027,05/20/2027,USD,Lookback,0,TSFR1M,5.0,M,Normal
LoanBoss Cap Volatility Update,LBCP5.024_05,CAP,RECEIVE,Max Power,FIRM,10000000,05/20/2027,06/20/2027,USD,Lookback,0,TSFR1M,5.0,M,Normal
LoanBoss Cap Volatility Update,LBCP5.025_06,CAP,RECEIVE,Max Power,FIRM,10000000,06/20/2027,07/20/2027,USD,Lookback,0,TSFR1M,5.0,M,Normal
LoanBoss Cap Volatility Update,LBCP5.026_07,CAP,RECEIVE,Max Power,FIRM,10000000,07/20/2027,08/20/2027,USD,Lookback,0,TSFR1M,5.0,M,Normal
LoanBoss Cap Volatility Update,LBCP5.027_08,CAP,RECEIVE,Max Power,FIRM,10000000,08/20/2027,09/20/2027,USD,Lookback,0,TSFR1M,5.0,M,Normal
LoanBoss Cap Volatility Update,LBCP5.028_09,CAP,RECEIVE,Max Power,FIRM,10000000,09/20/2027,10/20/2027,USD,Lookback,0,TSFR1M,5.0,M,Normal
LoanBoss Cap Volatility Update,LBCP5.029_10,CAP,RECEIVE,Max Power,FIRM,10000000,10/20/2027,11/20/2027,USD,Lookback,0,TSFR1M,5.0,M,Normal
LoanBoss Cap Volatility Update,LBCP5.030_11,CAP,RECEIVE,Max Power,FIRM,10000000,11/20/2027,12/20/2027,USD,Lookback,0,TSFR1M,5.0,M,Normal
LoanBoss Cap Volatility Update,LBCP5.031_12,CAP,RECEIVE,Max Power,FIRM,10000000,12/20/2027,01/20/2028,USD,Lookback,0,TSFR1M,5.0,M,Normal
LoanBoss Cap Volatility Update,LBCP5.032_01,CAP,RECEIVE,Max Power,FIRM,10000000,01/20/2028,02/20/2028,USD,Lookback,0,TSFR1M,5.0,M,Normal
LoanBoss Cap Volatility Update,LBCP5.033_02,CAP,RECEIVE,Max Power,FIRM,10000000,02/20/2028,03/20/2028,USD,Lookback,0,TSFR1M,5.0,M,Normal
LoanBoss Cap Volatility Update,LBCP5.034_03,CAP,RECEIVE,Max Power,FIRM,10000000,03/20/2028,04/20/2028,USD,Lookback,0,TSFR1M,5.0,M,Normal
LoanBoss Cap Volatility Update,LBCP5.035_04,CAP,RECEIVE,Max Power,FIRM,10000000,04/20/2028,05/20/2028,USD,Lookback,0,TSFR1M,5.0,M,Normal
LoanBoss Cap Volatility Update,LBCP5.036_05,CAP,RECEIVE,Max Power,FIRM,10000000,05/20/2028,06/20/2028,USD,Lookback,0,TSFR1M,5.0,M,Normal
LoanBoss Cap Volatility Update,LBCP5.037_06,CAP,RECEIVE,Max Power,FIRM,10000000,06/20/2028,07/20/2028,USD,Lookback,0,TSFR1M,5.0,M,Normal
LoanBoss Cap Volatility Update,LBCP5.038_07,CAP,RECEIVE,Max Power,FIRM,10000000,07/20/2028,08/20/2028,USD,Lookback,0,TSFR1M,5.0,M,Normal
LoanBoss Cap Volatility Update,LBCP5.039_08,CAP,RECEIVE,Max Power,FIRM,10000000,08/20/2028,09/20/2028,USD,Lookback,0,TSFR1M,5.0,M,Normal
LoanBoss Cap Volatility Update,LBCP5.040_09,CAP,RECEIVE,Max Power,FIRM,10000000,09/20/2028,10/20/2028,USD,Lookback,0,TSFR1M,5.0,M,Normal
LoanBoss Cap Volatility Update,LBCP5.041_10,CAP,RECEIVE,Max Power,FIRM,10000000,10/20/2028,11/20/2028,USD,Lookback,0,TSFR1M,5.0,M,Normal
LoanBoss Cap Volatility Update,LBCP5.042_11,CAP,RECEIVE,Max Power,FIRM,10000000,11/20/2028,12/20/2028,USD,Lookback,0,TSFR1M,5.0,M,Normal
LoanBoss Cap Volatility Update,LBCP5.043_12,CAP,RECEIVE,Max Power,FIRM,10000000,12/20/2028,01/20/2029,USD,Lookback,0,TSFR1M,5.0,M,Normal
LoanBoss Cap Volatility Update,LBCP5.044_01,CAP,RECEIVE,Max Power,FIRM,10000000,01/20/2029,02/20/2029,USD,Lookback,0,TSFR1M,5.0,M,Normal
LoanBoss Cap Volatility Update,LBCP5.045_02,CAP,RECEIVE,Max Power,FIRM,10000000,02/20/2029,03/20/2029,USD,Lookback,0,TSFR1M,5.0,M,Normal
LoanBoss Cap Volatility Update,LBCP5.046_03,CAP,RECEIVE,Max Power,FIRM,10000000,03/20/2029,04/20/2029,USD,Lookback,0,TSFR1M,5.0,M,Normal
LoanBoss Cap Volatility Update,LBCP5.047_04,CAP,RECEIVE,Max Power,FIRM,10000000,04/20/2029,05/20/2029,USD,Lookback,0,TSFR1M,5.0,M,Normal
LoanBoss Cap Volatility Update,LBCP5.048_05,CAP,RECEIVE,Max Power,FIRM,10000000,05/20/2029,06/20/2029,USD,Lookback,0,TSFR1M,5.0,M,Normal
LoanBoss Cap Volatility Update,LBCP5.049_06,CAP,RECEIVE,Max Power,FIRM,10000000,06/20/2029,07/20/2029,USD,Lookback,0,TSFR1M,5.0,M,Normal
LoanBoss Cap Volatility Update,LBCP5.050_07,CAP,RECEIVE,Max Power,FIRM,10000000,07/20/2029,08/20/2029,USD,Lookback,0,TSFR1M,5.0,M,Normal
LoanBoss Cap Volatility Update,LBCP5.051_08,CAP,RECEIVE,Max Power,FIRM,10000000,08/20/2029,09/20/2029,USD,Lookback,0,TSFR1M,5.0,M,Normal
LoanBoss Cap Volatility Update,LBCP5.052_09,CAP,RECEIVE,Max Power,FIRM,10000000,09/20/2029,10/20/2029,USD,Lookback,0,TSFR1M,5.0,M,Normal
LoanBoss Cap Volatility Update,LBCP5.053_10,CAP,RECEIVE,Max Power,FIRM,10000000,10/20/2029,11/20/2029,USD,Lookback,0,TSFR1M,5.0,M,Normal
LoanBoss Cap Volatility Update,LBCP5.054_11,CAP,RECEIVE,Max Power,FIRM,10000000,11/20/2029,12/20/2029,USD,Lookback,0,TSFR1M,5.0,M,Normal
LoanBoss Cap Volatility Update,LBCP5.055_12,CAP,RECEIVE,Max Power,FIRM,10000000,12/20/2029,01/20/2030,USD,Lookback,0,TSFR1M,5.0,M,Normal
LoanBoss Cap Volatility Update,LBCP5.056_01,CAP,RECEIVE,Max Power,FIRM,10000000,01/20/2030,02/20/2030,USD,Lookback,0,TSFR1M,5.0,M,Normal
LoanBoss Cap Volatility Update,LBCP5.057_02,CAP,RECEIVE,Max Power,FIRM,10000000,02/20/2030,03/20/2030,USD,Lookback,0,TSFR1M,5.0,M,Normal
LoanBoss Cap Volatility Update,LBCP5.058_03,CAP,RECEIVE,Max Power,FIRM,10000000,03/20/2030,04/20/2030,USD,Lookback,0,TSFR1M,5.0,M,Normal
