date,open,close,high,low,volume
2013-04-08,7.8564,8.0582,8.0897,7.8186,23884700
2013-04-09,8.1023,8.0708,8.1717,8.0392,29826000
2013-04-10,8.1149,8.2725,8.2789,8.0834,31089600
2013-04-11,8.2915,8.5437,8.5626,8.2789,51493300
2013-04-12,8.4680,8.5311,8.5437,8.3608,37955000
2013-04-15,8.4239,8.1654,8.4869,8.1401,55885900
2013-04-16,8.3041,8.2725,8.3482,8.1969,36338200
2013-04-17,8.1780,8.1527,8.2284,8.0708,44583600
2013-04-18,8.1590,8.0392,8.1843,7.9762,34877900
2013-04-19,8.1212,8.1527,8.1780,8.0393,26971400
2013-04-22,8.1780,8.2347,8.2473,8.0708,26082200
2013-04-23,8.2725,8.4239,8.4806,8.2662,40082600
2013-04-24,8.4995,8.4050,8.5374,8.2725,46026300
2013-04-25,8.4491,8.4932,8.5500,8.4176,42016000
2013-04-26,8.5248,8.6193,8.6761,8.4806,43814900
2013-04-29,8.6572,8.6130,8.6761,8.5563,20659200
2013-04-30,8.6130,8.6446,8.6635,8.5248,24858800
2013-05-01,8.6636,8.4985,8.7525,8.4794,39344800
2013-05-02,8.6001,8.5175,8.6064,8.4985,33982900
2013-05-03,8.6255,8.7843,8.7843,8.6192,45933600
2013-05-06,8.8033,8.9494,8.9875,8.7843,53821400
2013-05-07,9.0193,9.0130,9.0511,8.9494,42070400
2013-05-08,8.9875,9.0257,9.0447,8.9558,33334600
2013-05-09,9.0130,9.0193,9.0574,8.9939,30575000
2013-05-10,9.0257,8.9621,9.0384,8.9050,30885100
2013-05-13,8.9558,8.8986,8.9685,8.8415,22758500
2013-05-14,8.8923,9.0638,9.0828,8.8796,32390700
2013-05-15,9.0701,9.3178,9.3813,9.0638,56875000
2013-05-16,9.3813,9.2988,9.4322,9.2734,40924300
2013-05-17,9.3941,9.5782,9.6227,9.3686,59729800
2013-05-20,9.5338,9.5592,9.6735,9.5274,34580000
2013-05-21,9.5719,9.4957,9.6672,9.3686,61840300
2013-05-22,9.5782,9.5084,9.7307,9.4385,67147904
2013-05-23,9.2099,9.4068,9.4893,9.1273,49128700
2013-05-24,9.3432,9.3941,9.4512,9.3115,25287100
2013-05-28,9.6672,9.7053,9.7497,9.5910,59250500
2013-05-29,9.6989,9.9276,9.9848,9.6799,65167400
2013-05-30,10.0102,10.0991,10.1753,9.9975,61805000
2013-05-31,10.0864,9.9593,10.1880,9.9593,52117500
2013-06-03,10.1181,10.0927,10.2134,9.8514,59017900
2013-06-04,10.1499,10.0229,10.2198,9.9276,50273400
2013-06-05,9.9720,9.6862,9.9784,9.6418,64862400
2013-06-06,9.6862,9.8069,9.8323,9.5655,54819200
2013-06-07,9.8958,9.9911,10.0102,9.8196,37099500
2013-06-10,10.0737,9.9784,10.0991,9.9085,29589300
2013-06-11,9.8577,9.8514,9.9593,9.7815,35360600
2013-06-12,9.9276,9.7624,9.9784,9.7243,36207400
2013-06-13,9.7243,9.8958,9.9085,9.6418,34327500
2013-06-14,9.8577,9.7624,9.8895,9.7497,27186000
2013-06-17,9.8641,9.8768,9.9847,9.8069,31340000
2013-06-18,9.8704,9.9403,9.9784,9.8069,25950200
